Store ID,Store Name,Positive Feedback,Feeback Store,Date Opened,Item as Described,Communication,Shipping Speed,Time Scraped
1361294,LANGBEEYAR Official Store,34270,98.2,08 Jul 2014,4.7,4.8,4.6,2017-04-30 01:20:16.287230
419073,SHANBAO Store,8038,96.9,05 Mar 2013,4.6,4.7,4.5,2017-04-30 01:20:17.298250
1803487,Explosive menswear,1722,94.5,08 May 2015,4.4,4.5,4.3,2017-04-30 01:20:18.280409
2785195,Vantiorango Wonder Store,76,100.0,11 Jan 2017,4.9,5.0,4.9,2017-04-30 01:20:19.201601
1752461,Jensu Official Flagship Store,1259,96.1,29 Mar 2015,4.6,4.6,4.5,2017-04-30 01:20:20.139055
1088866,Shipping In Lisa's Store,20505,94.2,10 Jan 2014,4.5,4.5,4.3,2017-04-30 01:20:21.078194
1401007,cheerart Store,931,98.5,13 Aug 2014,4.7,4.8,4.7,2017-04-30 01:20:21.932382
1900997,customink store,801,93.9,26 Aug 2015,4.4,4.6,4.6,2017-04-30 01:20:22.786220
823139,Store No.823139,22296,96.6,11 Apr 2013,4.6,4.6,4.4,2017-04-30 01:20:23.714653
406498,"Sophia apparel (China) Co., Ltd. More quantity more discount!",59668,97.9,18 Apr 2011,4.7,4.7,4.6,2017-04-30 01:20:24.937211
1854480,HEYKESON Official Store,16714,96.4,06 Jul 2015,4.6,4.7,4.5,2017-04-30 01:20:26.057344
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:20:27.054071
1248602,SouYuTe Men's Shop,10973,97.2,04 May 2014,4.7,4.7,4.6,2017-04-30 01:20:28.004192
1443218,CITY CLASS flagship store,3433,98.6,15 Sep 2014,4.8,4.8,4.7,2017-04-30 01:20:28.898150
1760110,Trendsetter Show,6198,96.1,31 Mar 2015,4.6,4.7,4.5,2017-04-30 01:20:29.867217
922346,Eternal hope,10233,97.5,02 Apr 2013,4.7,4.7,4.6,2017-04-30 01:20:30.888807
1873745,"Hangzhou export co., LTD",6455,97.8,27 Jul 2015,4.7,4.7,4.6,2017-04-30 01:20:31.945333
2342247,Menswear1 Store,1208,96.4,08 Aug 2016,4.7,4.7,4.7,2017-04-30 01:20:32.819653
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:20:33.724019
2027080,JPJ,3193,98.1,18 Feb 2016,4.7,4.6,4.3,2017-04-30 01:20:34.894772
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:20:35.860908
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:20:36.874150
2067031,QSuper Man. Store,2201,94.8,23 Feb 2016,4.6,4.6,4.4,2017-04-30 01:20:37.993042
2621009,RUMEIAI Store Store,3532,97.6,27 Sep 2016,4.7,4.7,4.5,2017-04-30 01:20:38.973351
2346143,Men Ifu Store,6146,94.6,26 Jul 2016,4.5,4.6,4.3,2017-04-30 01:20:40.052624
